Offers Physical Therapy Services,Offers Speech Pathology Services,Offers Medical Social Services,How often the home health team began their patients' care in a timely manner,How often the home health team determined whether patients received a flu shot for the current flu season,How often patients got better at walking or moving around,How often patients' breathing improved,How often home health patients had to be admitted to the hospital,Changes in skin integrity post-acute care: pressure ulcer/injury,How often physician-recommended actions to address medication issues were completely timely,DTC Denominator,DTC Risk-Standardized Rate,Quality of patient care star rating
1.0,1.0,0.0,96.537,74.381,82.632,86.369,13.924,0.245,97.413,374.237,82.103,3.245
1.0,0.0,1.0,98.9,89.2,89.0,90.6,14.1,0.6,98.4,128.0,82.2,4.0
1.0,1.0,1.0,96.537,74.381,82.632,86.369,13.924,0.245,97.413,5.0,82.103,3.245
1.0,1.0,1.0,96.537,74.381,82.632,86.369,13.924,0.245,97.413,374.237,82.103,3.245
1.0,1.0,1.0,96.537,74.381,82.632,86.369,13.924,0.245,97.413,1.0,82.103,3.245
1.0,1.0,1.0,98.3,99.0,83.9,86.2,11.9,0.0,94.9,193.0,81.51,4.5
1.0,1.0,1.0,93.7,47.4,83.8,86.6,10.9,0.7,94.3,159.0,67.17,3.0
1.0,1.0,1.0,92.8,91.8,94.4,96.8,12.3,0.0,99.4,532.0,90.02,3.5
0.0,0.0,1.0,96.537,74.381,82.632,86.369,13.924,0.245,97.413,374.237,82.103,3.245
1.0,1.0,1.0,100.0,94.2,83.4,64.0,10.4,0.0,100.0,81.0,85.81,3.5
0.0,0.0,1.0,96.537,74.381,82.632,86.369,13.924,0.245,97.413,4.0,82.103,3.245
1.0,1.0,1.0,100.0,99.1,86.6,94.0,8.8,0.0,100.0,210.0,89.29,4.5
1.0,1.0,1.0,96.537,74.381,82.632,86.369,10.2,0.245,97.413,174.0,84.45,3.245
1.0,1.0,1.0,100.0,92.0,77.6,100.0,13.3,0.0,93.0,620.0,92.34,3.5
0.0,0.0,1.0,96.537,74.381,82.632,86.369,13.924,0.245,97.413,19.0,82.103,3.245
1.0,0.0,1.0,96.537,74.381,82.632,86.369,13.924,0.245,97.413,1.0,82.103,3.245
